Strategist Region,Country,US State,School Name,Email Domain,Activations (BTS 2025 Spring),Queries (from BTS 2025 Spring Registrations),Queries
,,,,,2013,65693,861747
Southwest,United States,Texas,Abilene Christian University,@acu.edu,7,49,1472
Southwest,United States,Texas,Abilene Christian University,@students.acu.edu,0,0,0
Southwest,United States,Texas,Amberton University,@amberton.edu,0,0,0
Southwest,United States,Texas,Amberton University,@my.amberton.edu,1,2,197
Southwest,United States,Texas,Angelo State University,@angelo.edu,3,119,168
Southwest,United States,Arizona,Arizona Christian University,@arizonachristian.edu,1,1,1
Southwest,United States,Arizona,Arizona State University,@asu.edu,478,10987,378829
Southwest,United States,Arizona,Arizona State University,@law.asu.edu,0,0,0
Southwest,United States,Arizona,Arizona State University,@thunderbird.asu.edu,1,4,4
Southwest,United States,Arizona,Arizona State University,@wpcarey.asu.edu,0,0,0
Southwest,United States,Arizona,Arizona Western College,@azwestern.edu,1,25,25
Southwest,United States,Arizona,Arizona Western College,@stu.azwestern.edu,0,0,8641
Southwest,United States,Texas,Austin College,@austincollege.edu,0,0,0
Southwest,United States,Texas,Austin Community College ,@austincc.edu,28,232,1149
Southwest,United States,Texas,Austin Community College ,@g.austincc.edu,30,651,3068
Southwest,United States,Texas,Baylor University ,@baylor.edu,56,2612,3645
Southwest,United States,Texas,Baylor University ,@law.baylor.edu,0,0,0
Southwest,United States,Texas,Baylor University ,@online.baylor.edu,0,0,0
Southwest,United States,Arizona,Benedictine University ,@ben.edu,0,0,0
Southwest,United States,Arizona,Benedictine University ,@online.ben.edu,0,0,0
Southwest,United States,New Mexico,Brookline College,@brooklinecollege.edu,0,0,0
Southwest,United States,New Mexico,Burrell College of Osteopathic Medicine,@burrell.edu,0,0,0
Southwest,United States,Arizona,Central Arizona College,@centralaz.edu,0,0,0
Southwest,United States,Arizona,Central Arizona College,@stu.centralaz.edu,0,0,26
Southwest,United States,Arizona,Cochise College,@cochise.edu,0,0,17
Southwest,United States,Arizona,Cochise College,@students.cochise.edu,2,3,117
Southwest,United States,Texas,Collin County College,@collin.edu,3,11,1482
Southwest,United States,Texas,Concordia University Texas,@ctx.edu,0,0,0
